Date,ATM 1,ATM 2,ATM 3,ATM (mean)
2018-06-09 00:00:00,96900000,60300000,50400000,69200000
2018-06-10 00:00:00,78000000,52500000,52500000,61000000
2018-06-11 00:00:00,80900000,33100000,40800000,51600000
2018-06-12 00:00:00,90900000,41300000,55800000,62666666.67
2018-06-13 00:00:00,110500000,32800000,57400000,66900000
2018-06-14 00:00:00,69600000,5400000,72700000,49233333.33
2018-06-15 00:00:00,54500000,2000000,162800000,73100000
2018-06-16 00:00:00,39400000,27828571.43,139900000,69042857.14
2018-06-17 00:00:00,94500000,64400000,63200000,74033333.33
2018-06-18 00:00:00,104600000,37300000,79200000,73700000
2018-06-19 00:00:00,116600000,24400000,68000000,69666666.67
